antibodyNames	ratios
AKT	0.932972246343785
AKT-pS473	1.29774648019498
Aurora-A-pT288	0.6805788421181
b-Actin	0.554384453633526
b-Catenin	0.70782391936584
c-JUN-pS73	0.166968019120958
c-MYC	0.525084407762315
Caspase3 (Asp175) Cleaved	1
Cyclin-D1	0.200122214127788
EGFR-pY1068	0.789418939324661
ERK1/2	0.224689758288698
ERK1/2-pT202/Y204	0.281372792389505
GAPDH	0.153007429721601
GSK3a-pS21/GSK3b-pS9	0.830246850675288
HER2-pY1248	0.286945260882416
HER3-pY1289	1.29488645244013
IGF1R-pY1162/3	3.45931204455075
IGF1Rb	0.359232549046037
MEK1/2	0.202152522084335
MEK1/2-pS217/221	0.186452162621633
MET	0.593518933748235
MET-pY1234/5	0.976841742527835
MITF	0.378500633069121
mTOR	0.249218508690628
mTOR-pS2448	3.93980184870043
p53	0.593035426321024
PDGFRb-pY1021	1.19355526478783
PTEN	1.24095823395279
RB	0.314328104175167
RB-pS780	0.957716148907381
RPS6-pS235/6	0.655036169817337
SMAD3-pS423/5	1.08051092612091
SRC-pY416	1.07626203775347
STAT3-pY705	0.515621606730891
VEGFR2-pY1059	0.610609677732108
buffer control	0.231213034037978
